side,hex1,hex2,p,q,h,v,az_deg_left_positive,az_deg_ipsi,el_deg,dir_front,dir_left,dir_up,source,n_fit,zhao_right_lens_row,zhao_p,zhao_q,col_type,col_type_basis,marker_evidence,R7R8_bodyIds,reiser_OL_v1_column_type,pin_distal_x,pin_distal_y,pin_distal_z,pin_proximal_x,pin_proximal_y,pin_proximal_z,pin_dir_az_left_deg,pin_dir_el_deg,lamina_centroid_x,lamina_centroid_y,lamina_centroid_z
L,4,14,-5,-14,-10,-19,116.27,116.27,-44.98,-0.31305,0.6343,-0.70687,zhao_uCT_match,1,167,-6.0,-15.0,pale,R7,"{""R7p"": 1, ""R8p"": 1}",R7p:545069;R8p:181547,,73247.0,43894.0,25351.0,69429.0,40673.0,30885.0,34.6,-25.6,,,
L,4,15,-4,-14,-11,-18,122.99,122.99,-43.0,-0.39816,0.61342,-0.68205,zhao_uCT_match,1,187,-5.0,-15.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:210748;R7y:550553,,72986.0,43130.0,24973.0,69446.0,40138.0,30719.0,31.6,-23.9,,,
L,4,16,-3,-14,-12,-17,127.95,127.95,-40.82,-0.4654,0.5968,-0.65363,zhao_uCT_match,1,206,-4.0,-15.0,unclear,,{},R7_unclear:549996;R8_unclear:549993,,72734.0,42342.0,24688.0,69305.0,39603.0,30404.0,31.0,-22.3,,,
L,4,17,-2,-14,-13,-16,129.81,129.81,-37.05,-0.51096,0.61306,-0.60256,zhao_uCT_match,1,227,-3.0,-15.0,unclear,,{},,,72482.0,41555.0,24403.0,69073.0,39090.0,30332.0,29.9,-19.8,,,
L,4,18,-1,-14,-14,-15,136.33,136.33,-35.22,-0.59093,0.56409,-0.57672,extrapolated_local_linear,18,-1,,,unclear,,{},,,72239.0,40745.0,24247.0,69018.0,38489.0,30413.0,27.6,-18.0,,,
L,5,2,-17,-13,3,-30,-5.12,-5.12,-71.07,0.32316,-0.02894,-0.9459,extrapolated_local_linear,15,-1,,,unclear,,{},,,75417.0,49614.0,33663.0,70573.0,45254.0,36822.0,56.9,-37.0,,,
L,5,3,-16,-13,2,-29,14.01,14.01,-70.14,0.32961,0.08223,-0.94053,zhao_uCT_match,1,4,-17.0,-14.0,unclear,,{},R7_unclear:248138;R8_unclear:236655,,75415.0,49451.0,32670.0,70586.0,45089.0,35888.0,56.3,-36.9,,,
L,5,4,-15,-13,1,-28,30.19,30.19,-69.0,0.30969,0.18018,-0.93361,zhao_uCT_match,1,9,-16.0,-14.0,yellow?,Dm8a/Tm5a home,"{""Dm8a"": 1}",R7_unclear:211308;R8_unclear:247693,,74889.0,49128.0,31742.0,70045.0,44764.0,35169.0,54.7,-36.3,,,
L,5,5,-14,-13,0,-27,41.5,41.5,-66.59,0.29761,0.26329,-0.91766,zhao_uCT_match,1,20,-15.0,-14.0,unclear,,"{""Dm8b"": 1, ""Tm5a"": 1}",R7_unclear:233774;R8_unclear:233658,,75058.0,48816.0,30783.0,70215.0,44452.0,34441.0,52.9,-35.7,,,
L,5,6,-13,-13,-1,-26,52.0,52.0,-64.67,0.2634,0.33714,-0.90386,zhao_uCT_match,1,31,-14.0,-14.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Tm5b"": 1}",R7p:244376;R8p:237843,,75321.0,48400.0,30010.0,70413.0,44062.0,34052.0,50.5,-34.3,,,
L,5,7,-12,-13,-2,-25,61.9,61.9,-62.5,0.21751,0.40732,-0.88701,zhao_uCT_match,1,44,-13.0,-14.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:254620;R7y:217894,,75183.0,47980.0,29341.0,70225.0,43710.0,33696.0,48.7,-32.9,,,
L,5,8,-11,-13,-3,-24,71.13,71.13,-59.34,0.16493,0.48251,-0.86022,zhao_uCT_match,1,60,-12.0,-14.0,pale?,Dm8b/Tm5b home,"{""Dm8b"": 1, ""Tm5b"": 1}",R7_unclear:235851;R8_unclear:253843,,75320.0,47376.0,28583.0,70363.0,43233.0,33158.0,47.3,-31.6,,,
L,5,9,-10,-13,-4,-23,78.58,78.58,-56.29,0.10988,0.54403,-0.83184,zhao_uCT_match,1,78,-11.0,-14.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:246994;R7y:273705,,75383.0,46794.0,27865.0,70426.0,42815.0,32787.0,45.2,-29.7,,,
L,5,10,-9,-13,-5,-22,85.83,85.83,-53.33,0.04345,0.59561,-0.8021,zhao_uCT_match,1,97,-10.0,-14.0,pale,R7,"{""R7p"": 1, ""R8p"": 1}",R7p:236542;R8p:243092,,75383.0,46303.0,27319.0,70532.0,42406.0,32523.0,43.0,-28.7,,,
L,5,11,-8,-13,-6,-21,91.73,91.73,-50.66,-0.01915,0.63364,-0.77339,zhao_uCT_match,1,114,-9.0,-14.0,unclear,,{},R7_unclear:252015;R8_unclear:235075,,75183.0,45824.0,26819.0,70655.0,42161.0,32141.0,40.4,-27.7,,,
L,5,12,-7,-13,-7,-20,97.6,97.6,-48.08,-0.08836,0.6622,-0.7441,zhao_uCT_match,1,133,-8.0,-14.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Dm8b"": 1, ""Tm5a"": 1}",R7p:195479;R8p:246600,,75061.0,45207.0,26231.0,70718.0,41750.0,31602.0,39.0,-26.6,,,
L,5,13,-6,-13,-8,-19,103.14,103.14,-44.89,-0.16109,0.6899,-0.70575,zhao_uCT_match,1,152,-7.0,-14.0,unclear,,{},R7_unclear:218972;R8_unclear:183347,,74915.0,44547.0,25687.0,70752.0,41318.0,31278.0,36.7,-24.9,,,
L,5,14,-5,-13,-9,-18,108.09,108.09,-42.26,-0.22974,0.70349,-0.67254,zhao_uCT_match,1,171,-6.0,-14.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:228825;R7y:210489,,74565.0,43810.0,25178.0,70647.0,40780.0,30925.0,34.3,-23.5,,,
L,5,15,-4,-13,-10,-17,113.29,113.29,-39.85,-0.30355,0.70517,-0.64077,zhao_uCT_match,1,190,-5.0,-14.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Tm5b"": 1}",R8y:175000;R7y:166473,,74232.0,43195.0,24810.0,70564.0,40285.0,30658.0,32.1,-22.9,,,
L,5,16,-3,-13,-11,-16,119.06,119.06,-37.79,-0.38388,0.6908,-0.61272,zhao_uCT_match,1,209,-4.0,-14.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:198911;R7y:177684,,73985.0,42431.0,24429.0,70480.0,39784.0,30436.0,30.3,-20.8,,,
L,5,17,-2,-13,-12,-15,123.45,123.45,-35.55,-0.44847,0.67881,-0.58145,zhao_uCT_match,1,229,-3.0,-14.0,unclear,,{},R7_unclear:172949;R8_unclear:583771,,73519.0,41629.0,24149.0,70086.0,39300.0,30314.0,29.1,-18.3,,,
L,5,18,-1,-13,-13,-14,128.11,128.11,-33.68,-0.51363,0.65473,-0.55454,zhao_uCT_match,1,249,-2.0,-14.0,unclear,,{},R7_unclear:541966;R8_unclear:205410,,73255.0,40714.0,23864.0,70024.0,38517.0,30034.0,27.6,-17.5,,,
L,5,19,0,-13,-14,-13,133.4,133.4,-31.24,-0.58749,0.62117,-0.51865,zhao_uCT_match,1,269,-1.0,-14.0,unclear,,{},,,72459.0,39944.0,23932.0,69275.0,37794.0,30153.0,27.1,-17.1,,,
L,5,20,1,-13,-15,-12,138.01,138.01,-28.78,-0.65146,0.58639,-0.4814,extrapolated_local_linear,19,-1,,,unclear,,{},,,72422.0,39045.0,23682.0,69486.0,37087.0,30080.0,24.7,-15.5,,,
L,6,1,-18,-12,5,-30,-19.6,-19.6,-69.58,0.32868,-0.11706,-0.93716,extrapolated_local_linear,11,-1,,,unclear,,{},,,76167.0,49716.0,34736.0,71272.0,45372.0,37923.0,56.9,-36.6,,,
L,6,2,-17,-12,4,-29,-2.1,-2.1,-68.34,0.36887,-0.01355,-0.92938,extrapolated_local_linear,18,-1,,,yellow,R7,"{""R7y"": 1, ""R8y"": 1}",R8y:213952;R7y:212421,,76042.0,49703.0,33967.0,71131.0,45343.0,37185.0,56.8,-36.6,,,
L,6,3,-16,-12,3,-28,6.67,6.67,-66.04,0.40336,0.04716,-0.91383,zhao_uCT_match,1,3,-17.0,-13.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Dm8b"": 1, ""Tm5a"": 1}",R7p:327374;R8p:213800,,76060.0,49472.0,32771.0,71137.0,45096.0,36035.0,56.5,-36.5,,,
L,6,4,-15,-12,2,-27,25.91,25.91,-64.46,0.38779,0.18836,-0.9023,zhao_uCT_match,1,10,-16.0,-13.0,yellow?,Dm8a/Tm5a home,"{""Tm5a"": 1}",R7_unclear:242807;R8_unclear:199879,,76087.0,49214.0,31893.0,71141.0,44776.0,35403.0,54.6,-36.2,,,
L,6,5,-14,-12,1,-26,37.27,37.27,-62.48,0.36772,0.27983,-0.88684,zhao_uCT_match,1,21,-15.0,-13.0,pale?,Dm8b/Tm5b home,"{""Dm8b"": 1}",R7_unclear:205736;R8_unclear:201499,,75845.0,48902.0,31056.0,70888.0,44469.0,34860.0,52.5,-35.4,,,
L,6,6,-13,-12,0,-25,46.29,46.29,-60.25,0.34293,0.35874,-0.86816,zhao_uCT_match,1,32,-14.0,-13.0,pale?,Dm8b/Tm5b home,"{""Dm8b"": 1, ""Tm5b"": 1}",R7_unclear:246518;R8_unclear:205816,,76221.0,48387.0,30305.0,71121.0,44023.0,34534.0,50.3,-33.4,,,
L,6,7,-12,-12,-1,-24,54.52,54.52,-58.16,0.30616,0.42956,-0.84956,zhao_uCT_match,1,46,-13.0,-13.0,pale?,Dm8b/Tm5b home,"{""Dm8b"": 1, ""Tm5b"": 1}",R7_unclear:253522;R8_unclear:193889,,76134.0,47886.0,29466.0,70976.0,43559.0,33991.0,48.7,-32.2,,,
