side,hex1,hex2,az_deg_ipsi,el_deg,dir_front,dir_left,dir_up,source
L,8,4,21.9,-55.47,0.52592,0.21142,-0.82384,zhao_uCT_match
L,8,5,29.67,-53.76,0.51361,0.2926,-0.80659,zhao_uCT_match
L,8,6,37.19,-51.87,0.49182,0.37322,-0.78666,zhao_uCT_match
L,8,7,44.36,-49.46,0.46469,0.45438,-0.76,zhao_uCT_match
L,8,8,50.96,-47.41,0.42622,0.52563,-0.73624,zhao_uCT_match
L,8,9,57.2,-44.85,0.38403,0.59591,-0.70527,zhao_uCT_match
L,8,10,63.37,-42.03,0.33293,0.66404,-0.66948,zhao_uCT_match
L,8,11,69.29,-39.46,0.27307,0.72218,-0.63552,zhao_uCT_match
L,8,12,74.28,-37.39,0.2153,0.76481,-0.60722,zhao_uCT_match
L,8,13,79.35,-35.36,0.15077,0.8015,-0.57868,zhao_uCT_match
L,8,14,84.46,-32.94,0.08103,0.8353,-0.54379,zhao_uCT_match
L,8,15,90.03,-30.46,-0.00044,0.86197,-0.50697,zhao_uCT_match
L,8,16,95.1,-28.57,-0.07803,0.87478,-0.47819,zhao_uCT_match
L,8,17,99.59,-26.68,-0.14879,0.88107,-0.44897,zhao_uCT_match
L,8,18,104.35,-24.55,-0.22549,0.88123,-0.41543,zhao_uCT_match
L,8,19,109.59,-23.03,-0.30852,0.86705,-0.39119,zhao_uCT_match
L,8,20,114.92,-21.66,-0.39165,0.84282,-0.36914,zhao_uCT_match
L,8,21,120.19,-19.99,-0.47254,0.8123,-0.34188,zhao_uCT_match
L,8,22,125.12,-18.13,-0.54679,0.77728,-0.31123,zhao_uCT_match
L,8,23,130.57,-16.57,-0.62341,0.72804,-0.28517,zhao_uCT_match
L,8,24,137.78,-15.64,-0.71316,0.64706,-0.26967,zhao_uCT_match
L,8,25,145.41,-15.7,-0.79255,0.54646,-0.27066,zhao_uCT_match
L,8,26,152.34,-15.26,-0.85446,0.44792,-0.26319,extrapolated_local_linear
L,9,1,-7.22,-57.43,0.534,-0.06762,-0.84278,extrapolated_local_linear
L,9,2,3.2,-56.33,0.55353,0.03098,-0.83226,zhao_uCT_match
L,9,3,11.86,-53.99,0.57541,0.12086,-0.80889,zhao_uCT_match
L,9,4,19.32,-51.55,0.58675,0.2057,-0.7832,zhao_uCT_match
L,9,5,26.65,-49.33,0.58243,0.29227,-0.75852,zhao_uCT_match
L,9,6,33.56,-47.54,0.56257,0.37319,-0.73772,zhao_uCT_match
L,9,7,40.0,-45.61,0.53592,0.44962,-0.71459,zhao_uCT_match
L,9,8,46.26,-43.65,0.50026,0.52281,-0.69022,zhao_uCT_match
L,9,9,51.63,-41.69,0.46355,0.58553,-0.66504,zhao_uCT_match
L,9,10,57.14,-39.03,0.42152,0.65252,-0.62971,zhao_uCT_match
L,9,11,63.31,-36.34,0.36182,0.71963,-0.59264,zhao_uCT_match
L,9,12,68.57,-33.83,0.30349,0.77326,-0.55674,zhao_uCT_match
L,9,13,73.01,-31.97,0.24787,0.81129,-0.52949,zhao_uCT_match
L,9,14,78.08,-29.7,0.17946,0.84986,-0.49551,zhao_uCT_match
L,9,15,83.4,-27.2,0.10216,0.88355,-0.45705,zhao_uCT_match
L,9,16,88.7,-25.04,0.02051,0.90578,-0.42325,zhao_uCT_match
L,9,17,93.1,-23.47,-0.04957,0.9159,-0.39834,zhao_uCT_match
L,9,18,97.36,-21.28,-0.11936,0.92412,-0.36297,zhao_uCT_match
